Issue_Level_1_客訴故障現象,正規化,Issue_Level_2_分析看到現象,Issue_Level_2_分析看到現象_正規化,Issue_Level_7_損壞原因,Issue_Level_7_損壞原因_正規化
09f報警,AL09F,L1C螺絲滑牙,L1C_螺絲滑牙,BDSP1第2位A筆畫不亮,BDSP1第2位A筆畫不亮
0X0085,0X0085,"L1C螺絲滑牙,螺母正常","L1C_螺絲滑牙,螺母正常",BDSP1第3位E筆畫不亮,BDSP1第3位E筆畫不亮
"0X0C31,Z軸上不去","0X0C31,Z軸上不去",L1C螺絲壞擰不下去,L1C_螺絲滑牙,BDSP1第二位第三位D筆畫不亮,BDSP1第二位第三位D筆畫不亮
0X11位置檢出异常,0X11位置檢出异常,L1L2上電面板無顯示,"L1,L2上電無顯示",BDSP1漏焊,BDSP1漏焊
"1.DO功能測試正常 2.P1-53=0,剎車功能關閉","1.DO功能測試正常 2.P1-53=0,剎車功能關閉",L1L2上電無顯示,"L1,L2上電無顯示",BI模式，導致AL011,"BI模式,AL011"
"1.P對R open 2.DD22打火,二極管特性正常,R相銅箔熔斷","1.P對R OPEN 2.DD22打火,二極管特性正常,R相銅箔熔斷",L1L2上電顯示正常,"L1,L2上電顯示正常",BJ1 PIN14與PIN16維修錫短,BJ1 PIN14與PIN16維修錫短
"1.P對U open,對VW短路","1.P對U OPEN,對VW SHORT",L1L2相端子螺絲損壞,"L1,L2_螺絲損壞",BJ1焊錫不良,BJ1焊錫不良
1.VBUS電壓顯示偏低234VDC 2.,1.VBUS電壓顯示偏低234VDC,L1上電端子滑牙,L1_上電端子滑牙,BJ1端子16PIN漏焊,BJ1端子16PIN漏焊
"1.上電無顯示,L1L2端子打火,J6端子外力損壞 2.U2 3.3V對GND短路。","1.上電無顯示,L1L2端子打火,J6端子外力損壞 2.U2 3.3V對GND SHORT",L1相端子螺絲損壞,L1_螺絲損壞,BJ1錫短,BJ1錫短
1.散熱片有泡水受潮痕迹 2.IGBT PIN9對COM短路3.驅動光耦DPH7輸出异常,1.散熱片有泡水受潮痕迹 2.IGBT PIN9對COM SHORT3.驅動光耦DPH7輸出异常,L1相螺絲損壞,L1_螺絲損壞,BSW1/BSW3按鍵斷BSW4/BSW2按鍵損傷,BSW1/BSW3按鍵斷BSW4/BSW2按鍵損傷
11號報警,AL011,l1端子滑牙,L1_螺絲滑牙,BSW1外力損壞,BSW1外力損壞
11號報警CN2壞,"AL011,CN2壞",L1螺絲滑牙,L1_螺絲滑牙,BSW2外力損壞,BSW2外力損壞
1號報警,AL001,L2c相端子螺絲損壞,L2C_螺絲損壞,BSW3無按鍵帽，BSW2按鍵帽歪斜,"BSW3無按鍵帽,BSW2按鍵帽歪斜"
"3.3VD迴路短路,1.2V迴路短路,5V上電U24,U33異常發熱,移除U24,U33短路狀態消失","3.3VD迴路SHORT,1.2V迴路SHORT,5V上電U24,U33異常發熱,移除U24,U33 SHORT狀態消失",L2C端子螺母滑絲,L2C_螺絲滑牙,BSW4按鍵鉚點撞斷,BSW4按鍵鉚點撞斷
3.3V輸出端只有0.9左右輸出,3.3V輸出端只有0.9左右輸出,L2c端子螺絲受外力損壞,L2C_螺絲損壞,BUS電容下錫渣，高壓跳火,"BUS電容下錫渣,高壓跳火"
"3.3V擊穿迴路擊穿,5V單獨上電,FPGA異常發熱,U21燒壞","3.3V擊穿迴路擊穿,5V單獨上電,FPGA異常發熱,U21燒壞",L2C擰不緊,L2C_螺絲滑牙,C10撞件,C10撞件
31號報警,AL031,L2C螺絲損壞,L2C_螺絲損壞,C177阻抗偏低,C177阻抗偏低
37\39\41\43點位無法使用,"PIN37,PIN39,PIN41,PIN43點位無法使用",L2C螺絲滑牙,L2C_螺絲滑牙,C185低電壓,C185低電壓
"3台寫的報警RL09C,1台寫的通訊不上",AL09C,L2C螺絲壞擰不下去,L2C_螺絲滑牙,C20/C21阻抗偏低,"C20,C21阻抗偏低"
3號報警,AL003,L2C點滑牙,L2C_螺絲滑牙,C20漏電,C20漏電
"485連接不上,軟件也通訊不上","485連接不上,軟件也通訊不上",L2L螺絲滑牙,L2L_螺絲滑牙,C217錫短,C217錫短
5VD GD短路,5VD_GD SHORT,L2相端子螺絲損壞,L2L_螺絲滑牙,C23碎件短路,C23碎件SHORT
5VD_PWR上電無顯示,5VD_PWR上電無顯示,L2端子螺絲卡死,L2_螺絲卡死,C65低阻抗短路,C65低阻抗SHORT
5VD_USB與DGND短路,5VD_USB與DGND SHORT,L2螺絲滑牙,L2_螺絲滑牙,C707碎件打火,C707碎件打火
"5驅動不了電機,上使能無反應,軟件上看報ALC31",ALC31,L2螺絲滑開,L2_螺絲滑牙,C94、U33虛焊,"C94,U33虛焊"
62569預防性更換,62569預防性更換,LA002報警,AL002,C9焊錫不良,C9焊錫不良
6號報警,AL006,mini-b連接不上臺達調試軟件,mini-b連接不上臺達調試軟件,canopen通訊正常,canOPEN通訊正常
"83報警問題, 輸出壞",AL083,mode shift鍵斷,mode shift鍵斷,case使用錯料,CASE使用錯料
83號報警,AL083,MODE、DOWN、SET、SHIFT按鍵缺失,"MODE,DOWN,SET,SHIFT按鍵缺失",CASE混料,CASE混料
85號報警,AL085,MODE、UP、SHIFT鍵損壞,"MODE,UP,SHIFT鍵損壞",CASE處有兩處輕微劃痕，鎖綫端子絕緣擋片爲撞斷,"CASE處有兩處輕微劃痕,鎖綫端子絕緣擋片爲撞斷"
"a.IGBT擊穿（UW對P,N擊穿） b.DR58炸裂","1.IGBT擊穿(UW對P,N擊穿)2.DR58炸裂",MODE、上鍵損壞,"MODE,上鍵損壞",case熱熔,CASE熱熔
A09F,AL09F,MODE按鈕缺失,MODE按鈕缺失,charge燈不亮,charge燈不亮
A1B相不輸出,A1B相不輸出,MODE按鍵掉落,MODE按鈕缺失,"CN1,CN6口PIN膠粘膠","CN1,CN6口PIN膠粘膠"
AB機,AB機,MODE按鍵脫落,MODE按鈕缺失,CN1針脚壞,CN1針脚壞
al0001,AL001,MODE按鍵損壞,MODE按鍵損壞,CN1端子內部PIN變形,CN1端子內部PIN變形
AL0006,AL006,MODE按鍵壞了,MODE按鍵損壞,CN1端子插不進去,CN1端子插不進去
AL001,AL001,MODE鍵、上鍵損壞,MODE按鍵損壞,CN2接口開裂,CN2接口損壞
"AL001,",AL001,MODE鍵損壞,MODE按鍵損壞,CN2接口損壞,CN2接口損壞
"AL001,另外懷疑5V芯片有問題",AL001,"mode鍵損壞,R相端子螺絲損壞","MODE按鍵損壞,R相端子螺絲損壞",CN2接口變形,CN2接口損壞
"AL001,過電流",AL001,MODE鍵撞壞,MODE按鍵損壞,CN2端子PIN2不通,CN2端子PIN2不通
AL001報警,AL001,MODE鍵斷,MODE按鍵損壞,CN2端子PIN脚斷,CN2端子PIN斷裂
"AL001報警,申請換周轉機",AL001,MODE鍵斷裂,MODE按鍵損壞,CN2端子插不進，無法使用,"CN2端子插不進,無法使用"
AL001報警頻繁會跳閘,AL001,MODE鍵壞,MODE按鍵損壞,CN2端子插歪,CN2端子插歪
AL001過電流,AL001,"N-C-D之間打火,IGBT擊穿,DD22擊穿,回生電阻OPEN,DRLY1短路","N-C-D之間打火,IGBT擊穿,DD22擊穿,回生電阻OPEN,DRLY1 SHORT",CN2端子斷落,CN2端子斷裂
AL003,AL003,NDF,NDF,CN4損壞,CN4損壞
AL003低壓報警,AL003,NDF-檢測正常,NDF-檢測正常,CN6 OUT無輸出,CN6 OUT無輸出
AL003報警,AL003,N對RS短路,N對RS SHORT,CND,CND
AL004,AL004,N對UVW open,N對UVW OPEN,CPLD 3.3V，1.2V對GND短路,"CPLD 3.3V,1.2V對GND SHORT"
AL006,AL006,OA.OB口壞了,"OA,OB口壞了",CPLD芯片輸出异常,CPLD芯片輸出異常
AL006報警,AL006,OAOBOZ信號無輸出,"OA,OB,OZ信號輸出異常",C相端子螺絲損壞,C端子_螺絲損壞
AL009,AL009,OAOBOZ無輸出,"OA,OB,OZ信號輸出異常",D11/R70連錫,"D11,R70連錫"
AL01,AL001,OAOBOZ輸出异常,"OA,OB,OZ信號輸出異常",D15焊錫不良,D15焊錫不良
"al010,al085,刹車异常","AL010,AL085",OA輸出异常,OA信號輸出異常,D50、D53、D54反向阻抗异常,"D50,D53,D54反向阻抗异常"
AL011,AL011,OB信號無輸出,OB信號輸出異常,D50~D55未移除,D50~D55未移除
AL011 過電流,AL011,OB輸出异常,OB信號輸出異常,D50反向阻抗异常,D50反向阻抗异常
"AL011,CN2插口接觸不良",AL011,OCA報警,OCA報警,D50損壞,D50損壞
AL011報警,AL011,OX009F,OX009F,D51、D52反向阻抗异常,"D51,D52反向阻抗异常"
AL011過電流,AL011,"P,N對PE短路","P,N對PE SHORT",D51軟擊穿,D51軟擊穿
AL013緊急停止,AL013,"P,N對Ropen,對UW短路,N對C擊穿","P,N對R OPEN,對UW SHORT,N對C擊穿",D52、D54損壞,"D52,D54損壞"
AL016,AL016,"P,N對RS OPEN","P,N對RS OPEN",D54損壞,D54損壞
AL016報警,AL016,P1-01參數設置錯誤,P1-01參數設置異常,DC3，DC52，DC53電容鼓包,"DC3,DC52,DC53電容鼓包"
AL022,AL022,P1-37參數設置異常,P1-37參數設置異常,"DC3,DC82/DC83損壞","DC3,DC82,DC83損壞"
AL022報警,AL022,PLC脉衝只朝一個方向走,PLC脉衝只朝一個方向走,DC3、DC52、DC53鼓包,"DC3,DC52,DC53鼓包"
AL022電源异常,AL022,PN短路,PN SHORT,DC3、DC52鼓包,"DC3,DC52鼓包"
AL031,AL031,PN對R open,PN SHORT,"DC3、DC52鼓包,銅箔炸","DC3,DC52鼓包,銅箔炸裂"
AL031報警,AL031,"power板R\S端子附近燒毀,銅箔融毀,DR58,DR57,DC64燒毀,IPM引脚閑有打火","POWER板R\S端子附近燒毀,銅箔融毀,DR58,DR57,DC64燒毀,IPM引脚閑有打火",DC3、DC53，DC52鼓包，DR28燒，銅箔炸,"DC3,DC53,DC52鼓包,DR28燒,銅箔炸裂"
AL033,AL033,"power板R\S端子附近燒毀,銅箔融毀,U對P短路,R對P\N開路","POWER板R\S端子附近燒毀,銅箔融毀,U對P SHORT,R對P\N開路",DC3、DC53鼓包,"DC3,DC53鼓包"
AL033報警,AL033,PULSE INPUT電路限流電阻燒,PULSE INPUT電路限流電阻燒,DC3、DC82、DC83、DC84鼓包,"DC3,DC82,DC83,DC84鼓包"
AL035報警,AL035,PULSE OUTPUT异常,PULSE OUTPUT異常,DC3、DC83、DC84鼓包,"DC3,DC83,DC84鼓包"
AL045,AL045,"pulse output電路U25燒壞,R205阻值變大壞,電源系統全部擊穿","PULSE OUTPUT電路U25燒壞,R205阻值變大壞,電源系統全部擊穿",DC3、DC83鼓包、DD22擊穿,"DC3,DC83鼓包,DD22擊穿"
AL06,AL006,pulse不接受脈衝,PULSE不接受脈衝,DC3、DC84鼓包,"DC3,DC84鼓包"
AL06報警,AL006,pulse和sign之間短路,PULSE和SIGN之間SHORT,DC3電容鼓包,DC3鼓包
AL074,AL074,P-U相短路,P-U相SHORT,"DC3電容鼓包,DR1電阻開裂open,DD1的擊穿","DC3鼓包,DR1電阻開裂OPEN,DD1的擊穿"
AL083,AL083,PWM_V#信號無法PULL HIGH,PWM_V#信號無法PULL HIGH,DC3電容鼓包，壓敏電阻DVAR3炸開,"DC3鼓包,壓敏電阻DVAR3炸裂開"
"AL083,AL001","AL001,AL083","PW擊穿,NU 斷開,DR58炸","PW擊穿,NU 斷開,DR58炸",DC3鼓包,DC3鼓包
AL085,AL085,PX伺服通訊不穩定,PX伺服通訊不穩定,DC3鼓包，DR1過熱損壞,"DC3鼓包,DR1過熱損壞"
"AL085,AL001","AL001,AL085",P相端子螺絲損壞,P相_螺絲損壞,"DC3鼓包,DR1燒壞","DC3鼓包,DR1燒毀"
"AL085,AL09F","AL085,AL09F","P對R OPEN,對SUVW 短路,N對R open","P對R OPEN,對SUVW SHORT,N對R OPEN",DC3鼓包，DTB1有打火，J3表面受熱，DD1擊穿，DR1燒,"DC3鼓包,DTB1有打火,J3表面受熱,DD1擊穿,DR1燒"
AL085報警,AL085,"P對Ropen,N對Rsopen,DC3,DC53鼓包","P對R OPEN,N對RS OPEN,DC3,DC53鼓包",DC3鼓包，IGBT U上橋擊穿,"DC3鼓包,IGBT U上橋擊穿"
AL086,AL086,"P對RS open,對T短路,N對RS","P對RS OPEN,對T SHORT,N對RS","DC3鼓包,U1電解液腐蝕","DC3鼓包,U1電解液腐蝕"
AL086、AL180,"AL086,AL180","P對RSopen,對UVW open,N對RSUopen","P對RS OPEN,對UVW OPEN,N對RSU OPEN",DC3鼓包，回生電阻Open,"DC3鼓包,回生電阻OPEN"
AL086報警,AL086,P對RS短路,P對RS SHORT,DC3鼓包DR1裂開，DC81、DC88、DC83鼓包,"DC3鼓包DR1裂開,DC81,DC88,DC83鼓包"
AL09,AL009,"P對SUVW短路,N對R短路","P對SUVW SHORT,N對R SHORT",DC3爆,DC3爆
AL099,AL099,"P對U OPEN,N對W短路","P對U OPEN,N對W SHORT","DC52,DC53鼓包","DC52,DC53鼓包"
AL099報警,AL099,"P對UV open,N對W短路","P對UV OPEN,N對W SHORT",DC52、DC3鼓包，DD22擊穿,"DC52,DC3鼓包,DD22擊穿"
AL09C,AL09C,"P對UVW open,N對RS 短路,對UVWopen","P對UVW OPEN,N對RS SHORT,對UVW OPEN",DC52、DC53、DC3鼓包,"DC52,DC53,DC3鼓包"
AL09F,AL09F,P對UVW短路,P對UVW SHORT,DC52、DC53和DC3鼓包，DR28燒,"DC52,DC53,DC3鼓包,DR28燒"
AL09F報警,AL09F,"P對UVW短路,進液體腐蝕污染","P對UVW SHORT,進液體腐蝕污染",DC52、DC53鼓包,"DC52,DC53鼓包"
AL0Cdb,AL0CDB,"P對UW open,N對W open","P對UW OPEN,N對W OPEN",DC52及SPS電容DC3鼓包，整流子DD22擊穿，與其相連銅箔熔斷,"DC52,SPS電容DC3鼓包,整流子DD22擊穿,與其相連銅箔熔斷"
AL1200,AL1200,P對U短路,P對U SHORT,DC52和DC3鼓包,"DC52,DC3鼓包"
AL1400,AL1400,"P對U短路 ,控制側有鐳射焊錫偏移碳化點,PIN間無短路現象","P對U SHORT,控制側有鐳射焊錫偏移碳化點,PIN間無SHORT現象",DC52電容鼓包,DC52電容鼓包
AL1400 伺服參數异常,AL1400,"P對U短路,N對VW open","P對U SHORT,N對VW OPEN",DC52鼓包，DD22、DD23擊穿，T相銅箔燒斷,"DC52鼓包,DD22,DD23擊穿,T相銅箔燒斷"
AL180報警,AL180,P對U擊穿 軟起電阻燒壞,P對U擊穿 軟起電阻燒壞,DC52鼓包，DR28燒,"DC52鼓包,DR28燒"
AL185,AL185,"P對V open P對W短路,N對RS短路,N對UV OPEN.","P對V OPEN,P對W SHORT,N對RS SHORT,N對UV OPEN",DC52鼓包，RS銅箔燒斷,"DC52鼓包,RS銅箔燒斷"
AL223,AL223,"P對V open,N對UW短路","P對V OPEN,N對UW SHORT",DC53、DC3鼓包,"DC53,DC3鼓包"
AL3CF,AL3CF,P對Vopen,P對V OPEN,DC53/DC3鼓包R254/R255燒,"DC53,DC3鼓包R254,R255燒"
AL3E1通訊同步失效,AL3E1,P對V短路,P對V SHORT,DC53鼓包,DC53鼓包
AL3E3,AL3E3,P對V擊穿,P對V擊穿,DC53鼓包，DD23擊穿,"DC53鼓包,DD23擊穿"
AL99韌體錯誤,AL099,P對W相特性Short,P對W相特性SHORT,DC54底部N和W打火，P和U打火,"DC54底部N和W打火,P和U打火"
ALC31,ALC31,P對W短路,P對W SHORT,DC54底部銅箔短路導致打火,DC54底部銅箔SHORT導致打火
ALC31報警,ALC31,P對W擊穿,P對W擊穿,DC60錫短,DC60錫短
alcdb報警,ALCDB,Q10擊穿,Q10擊穿,"DC75,DC76連錫","DC75,DC76連錫"
ALE33報警,ALE33,"Q11,R260已經移除,運行正常","Q11,R260已經移除,運行正常",DC81、DC82、DC83、DC3鼓包,"DC81,DC82,DC83,DC3鼓包"
ALO9F自用,AL09F,Q11擊穿,Q11擊穿,DC81、DC82、DC83、DC3鼓包，DD22、DD23擊穿,"DC81,DC82,DC83,DC3鼓包,DD22,DD23擊穿"
ASDA_soft軟件示波器監測VBUS電壓為16V,ASDA_soft軟件示波器監測VBUS電壓為16V,Q12、Q13、Q15、Q16擊穿,"Q12,Q13,Q15,Q16擊穿",DC81、DC82、DC83、DC84、DC3鼓包，DR28軟啟OPEN,"DC81,DC82,DC83,DC84,DC3鼓包,DR28軟啟OPEN"
"A口通訊异常,B口通訊正常","A接口通訊异常,B口通訊正常",Q12-CE擊穿,Q12-CE擊穿,DC81、DC82、DC83、DC84和鼓包,"DC81,DC82,DC83,DC84鼓包"
"A相沒有,只有B相,ABi相輸出异常","A相沒有,只有B相,ABi相輸出异常",Q12擊穿,Q12擊穿,DC81、DC82、DC83、DC84鼓包,"DC81,DC82,DC83,DC84鼓包"
"a整流子DD22擊穿,S對P擊穿 b.DR58炸裂 c.IGBT炸裂,P腳熔斷,與HSK之間有跳火","1.整流子DD22擊穿,S對P擊穿 2.DR58炸裂 3.IGBT炸裂,P腳熔斷,與HSK之間有跳火",Q13擊穿,Q13擊穿,DC81、DC82、DC83鼓包,"DC81,DC82,DC83鼓包"
B3-400w驅動問題,B3-400w驅動問題,Q15阻值異常,Q15阻值異常,DC81、DC82電容鼓包,"DC81,DC82電容鼓包"
BDSP1-數碼管DIG1-B不亮特性0.258VDC,"BDSP1-數碼管,DIG1-B不亮特性0.258VDC",Q15擊穿,Q15擊穿,DC81、DC83、DC3鼓包,"DC81,DC83,DC3鼓包"
BJ1維修不良,BJ1維修不良,Q16阻值異常,Q16阻值異常,DC81、DC83鼓包，軟起電阻DR28 Open,"DC81,DC83鼓包,軟起電阻DR28 OPEN"
BL01、BL06報警,"BL001,BL006",Q16損壞,Q16損壞,DC81、DC84電容鼓包,"DC81,DC84電容鼓包"
BSW1、BSW2、BSW4、BSW5損壞,"BSW1,BSW2,BSW4,BSW5損壞",Q9 碎件,Q9碎件,DC81和DC3鼓包，整流子DD22、DD23擊穿,"DC81和DC3鼓包,整流子DD22,DD23擊穿"
BSW1、BSW2、BSW4損壞,"BSW1,BSW2,BSW4損壞",R S T對P short,"R,S,T對P SHORT",DC81鼓包,DC81鼓包
BSW1、BSW2損壞,"BSW1,BSW2損壞","R,L1L2相端子螺絲損壞","R,L1,L2_螺絲損壞",DC81鼓包，整流子DD22、DD23擊穿,"DC81鼓包,整流子DD22,DD23擊穿"
BSW1、BSW4損壞,"BSW1,BSW4損壞","R,S相端子螺絲損壞","R,S_螺絲損壞",DC82，DC83，DC84電容鼓包,"DC82,DC83,DC84電容鼓包"
"BSW1,BSW2,BSW3,BSW4,BSW5鉚點外力損壞","BSW1,BSW2,BSW3,BSW4,BSW5鉚點外力損壞","R,S端子螺絲損壞","R,S_螺絲損壞",DC82、DC3鼓包,"DC82,DC3鼓包"
BSW1損壞,BSW1損壞,R、S、L1相端子螺絲損壞,R、S、L1_螺絲損壞,DC82、DC3鼓包，整流子DD22、DD23擊穿,"DC82,DC3鼓包,整流子DD22,DD23擊穿"
"BSW1斷裂,DR58損壞,DPM1的W相引脚熔斷,焊盤処有錫","BSW1斷裂,DR58損壞,DPM1的W相引脚熔斷,焊盤処有錫",R\T相銅箔熔斷,R\T相銅箔熔斷,DC82、DC3鼓包，整流子DD22擊穿,"DC82,DC3鼓包,整流子DD22擊穿"
BSW1壞,BSW1壞,R160燒,R160燒壞,DC82、DC83、DC84、DC3鼓包,"DC82,DC83,DC84,DC3鼓包"
BSW2、BSW3、BSW4、BSW5損壞,"BSW2,BSW3,BSW4,BSW5損壞",R160燒、C140、R153損壞,"R160燒壞,C140,R153損壞",DC82、DC83、DC84、DC3鼓包，DR58炸，IGBT炸,"DC82,DC83,DC84,DC3鼓包,DR58炸裂,IGBT炸裂"
BSW2、BSW4損壞,"BSW2,BSW4損壞",R205燒壞,R205燒壞,DC82、DC83、DC84鼓包,"DC82,DC83,DC84鼓包"
BSW2外力損壞,BSW2損壞,"R252,R253,R254,R255燒壞","R252,R253,R254,R255燒壞",DC82、DC83鼓包,"DC82,DC83鼓包"
BSW2損壞,BSW2損壞,"R252,R253燒件","R252,R253燒壞",DC82、DC84、DC3鼓包，軟起電阻DR28 Open,"DC82,DC84,DC3鼓包,軟起電阻DR28 OPEN"
BSW3、BSW5損壞,"BSW3,BSW5損壞","R252,R253燒壞","R252,R253燒壞",DC82/DC83/DC84/DC3鼓包,"DC82,DC83,DC84,DC3鼓包"
"BSW3無按鍵帽,BSW2按鍵帽歪斜","BSW3無按鍵帽,BSW2按鍵帽歪斜","R252,R253燒壞,3.3V擊穿,灌入3.3V電壓,DSP異常發熱","R252,R253燒壞,3.3V擊穿,灌入3.3V電壓,DSP異常發熱",DC82和DC3鼓包,"DC82,DC3鼓包"
BSW4損壞,BSW4損壞,R252、R253、R254、R255損壞,"R252,R253,R254,R255損壞",DC82和DC3鼓包，整流子DD22擊穿,"DC82,DC3鼓包,整流子DD22擊穿"
BUS電容DC82鼓包,BUS電容DC82鼓包,R252、R253、R254、R255燒,"R252,R253,R254,R255電阻燒壞",DC82和DC83鼓包,"DC82,DC83鼓包"
BUS電容鼓包,BUS電容鼓包,R252、R253、R254、R255燒毀,"R252,R253,R254,R255電阻燒壞",DC82和DR28燒,"DC82,DR28燒毀"
"BUS電容鼓包,SPS電容鼓包","BUS電容鼓包,SPS電容鼓包",R252、R253、R254、R255燒碳化,"R252,R253,R254,R255電阻燒壞","DC82電容鼓包，整流子DD22,DD23損壞","DC82鼓包,整流子DD22,DD23損壞"
"BUS電容鼓包,整流子擊穿,回升電阻open","BUS電容鼓包,整流子擊穿,回升電阻OPEN",R252、R253、R254、R255燒壞,"R252,R253,R254,R255電阻燒壞",DC82鼓包,DC82鼓包
B軸報警09C,B軸AL09C,R252、R253損壞,"R252,R253損壞",DC82鼓包，RS銅箔炸，整流子DD22擊穿,"DC82鼓包,RS銅箔炸裂,整流子DD22擊穿"
B軸報警ALM085,B軸AL085,R252、R253燒,"R252,R253電阻燒壞",DC83電容鼓包，DC3電容鼓包，DD22擊穿，DR28短路,"DC83鼓包,DC3鼓包,DD22擊穿,DR28 SHORT"
B軸報警ALM085、CN4USB接口無法連接、CN4通訊不上、C軸伺服驅動器燒壞 、報警06、點位燒壞、過載報警 、通電顯示不亮、通訊不上、找不到站點,B軸AL085,R252、R253燒碳化,"R252,R253電阻燒壞",DC83鼓包,DC83鼓包
C10撞件,C10撞件,R252、R253燒壞,"R252,R253電阻燒壞",DC83鼓包，整流子DD22、DD23擊穿，銅箔斷，Relay單獨上電不切,"DC83鼓包,整流子DD22,DD23擊穿,銅箔斷,Relay單獨上電不切"
C110膠前碎件,C110膠前碎件,"R252、R253燒壞,RST PIN脚有打火,控制板有噴灰","R252,R253電阻燒壞,RST PIN脚有打火,控制板有噴灰",DC83鼓包，整流子DD22和DD23擊穿，DU1PIN腳熔斷,"DC83鼓包,整流子DD22和DD23擊穿,DU1PIN腳熔斷"
C144短路,C144 SHORT,"R252,R253,R254,R255電阻燒壞","R252,R253,R254,R255電阻燒壞",DC84、DC3鼓包，整流子DD22擊穿,"DC84,DC3鼓包,整流子DD22擊穿"
C153撞件,C153撞件,"R252,R253燒壞","R252,R253電阻燒壞",DC84電容鼓包/DR58炸/外置回生電阻鼓包,"DC84鼓包,DR58炸裂,外置回生電阻鼓包"
C20、C21阻抗偏低,"C20,C21阻抗偏低","R254,R255電阻燒壞","R254,R255電阻燒壞",DC84鼓包,DC84鼓包
"C20低阻抗,1.4kohm,C21 1Mohm,DSP材料異常","C20低阻抗,1.4kohm,C21,1Mohm,DSP材料異常",R254、R255燒毀,"R254,R255電阻燒壞",DC84鼓包、軟起電阻DR28 Open,"DC84鼓包,軟起電阻DR28 OPEN"
"C20低阻抗,1.7kohm,C21 1Mohm,J10 端子應力損壞","C20低阻抗,1.7kohm,C21,1Mohm,J10,端子應力損壞",R254、R255燒壞,"R254,R255電阻燒壞",DC9、DC10插反,"DC9,DC10插反"
