合併正規化值,正規化
AL013緊急停止,AL013
AL016報警,AL016
AL022報警,AL022
AL022電源異常,AL022
AL031報警,AL031
AL033報警,AL033
AL035報警,AL035
AL06,AL006
AL06報警,AL006
"AL083,AL001","AL001,AL083"
"AL085,AL001","AL001,AL085"
AL085/AL09F,"AL085,AL09F"
AL085報警,AL085
AL086報警,AL086
AL09,AL009
AL099報警,AL099
AL09F報警,AL09F
AL0Cdb,AL0CDB
AL1400 伺服參數異常,AL1400
AL180報警,AL180
AL3E1通訊同步失效,AL3E1
AL99韌體錯誤,AL099
ALC31報警,ALC31
ALE33報警,ALE33
ALO9F自用,AL09F
"A口通訊異常,B口通訊正常","A接口通訊異常,B口通訊正常"
B3-400w驅動問題,B3~400w驅動問題
BDSP1-數碼管DIG1-B不亮特性0.258VDC,"BDSP1~數碼管,DIG1~B不亮特性0.258VDC"
"BI模式,導致AL011","BI模式,AL011"
BJ1 Pin14與Pin16維修錫短,BJ1 PIN14與PIN16維修錫短
"BL01,BL06報警","BL001,BL006"
BSW1/BSW2/BSW3/BSW4/BSW5鉚點外力損壞,"BSW1,BSW2,BSW3,BSW4,BSW5鉚點外力損壞"
"BSW1斷裂,DR58損壞,DPM1的W相引腳熔斷,焊盤処有錫","BSW1斷裂,DR58損壞,DPM1的W相引脚熔斷,焊盤処有錫"
BSW2外力損壞,BSW2損壞
"BUS電容鼓包,整流子擊穿,回升電阻open","BUS電容鼓包,整流子擊穿,回升電阻OPEN"
B軸報警09C,B軸AL09C
B軸報警ALM085,B軸AL085
"B軸報警ALM085,CN4USB接口無法連接,CN4通訊不上,C軸伺服驅動器燒壞,報警06,點位燒壞,過載報警,通電顯示不亮,通訊不上,找不到站點",B軸AL085
C144短路,C144 SHORT
C20/C21阻抗偏低,"C20,C21阻抗偏低"
"C20低阻抗,1.4kohm,C21 1Mohm,DSP材料異常","C20低阻抗,1.4kohm,C21,1Mohm,DSP材料異常"
"C20低阻抗,1.7kohm,C21 1Mohm,J10 端子應力損壞","C20低阻抗,1.7kohm,C21,1Mohm,J10,端子應力損壞"
C23碎件短路,C23碎件SHORT
C65低阻抗短路,C65低阻抗SHORT
"CASE處有兩處輕微劃痕,鎖線端子絕緣擋片為撞斷","CASE處有兩處輕微劃痕,鎖線端子絕緣擋片爲撞斷"
CN1 Pin腳燒碳化,CN1 PIN腳燒毀碳化
"CN1剎車引腳輸出異常,電機剎車無法打開。","CN1刹車引脚輸出異常,電機刹車無法打開,二次報修"
"CN1剎車引腳輸出異常,電機剎車無法打開。/二次報修",CN1的DO1損壞
"CN1有問題,給脈衝不走","CN1有問題,給脉衝不走"
CN1的DO1損壞,"CN1刹車引脚輸出異常,電機刹車無法打開"
CN1針腳壞,CN1針脚壞
CN2接口不良,CN2接口異常
CN2接口壞,CN2接口開裂
CN2接口壞了,CN2接口開裂
CN2接口插不緊,CN2接口異常
CN2接口損壞,CN2接口開裂
CN2接口斜,CN2接口異常
CN2接口歪,CN2接口異常
CN2接口沒扣,CN2接口異常
CN2接口變形,CN2接口開裂
"CN2插口不良,卡不住CN2線",CN2異常
CN2端子PIN腳斷,CN2端子PIN斷裂
"CN2編碼器線接口接觸不良,松",CN2異常
CN3口不良,CN3異常
CN4 PIN腳被壓彎,"CN4,PIN腳被壓彎"
CN4口損壞,CN4接口損壞
CN4口母pin位置偏移,CN4接口母PIN位置偏移
CN4口退pin,CN4接口退PIN
CN4壞,CN4異常
CN4接口無法通訊,CN4通訊異常
CN4插口不良,CN4接口損壞
"CN4端口有異物,線能插上,但無法連接",CN4接口損壞
CN4與電腦無法連接,CN4通訊異常
CN4退pin,CN4退PIN
CN4通訊不上,CN4通訊異常
"CN4通訊不上,驅動器燒壞,報警06","CN4通訊異常,AL006"
CN6 OUT口通訊不通,CN6接口異常
"CN6口異常,無法連接",CN6接口異常
"CN6找不到站號,報警AL185","CN6找不到站號,AL185"
CN6無法通訊,CN6通訊異常
CN6端口損壞,CN6接口異常
CN6網口通訊壞,CN6接口異常
CN6總線口無法通訊,CN6接口異常
CND-AL001,CND~AL001
CND-AL003,CND~AL003
CND-AL006,CND~AL006
CND-AL083,CND~AL083
CND-AL1200,CND~AL1200
CND-AL2300,CND~AL2300
CND-AL555,CND~AL555
CND-ALCDB,CND~ALCDB
"CND-CN4不能用,參數設置異常","CND~CN4不能用,參數設置異常"
"CND-DTB1端子打火,內部有兩處有錫絲","CND~DTB1端子打火,內部有兩處有錫絲"
CND-UVW異常,CND~UVW異常
CND-上電無顯示,CND~上電無顯示
CND-上電跳閘,CND~上電跳閘
CND-不良,CND~不良
CND-其他(DSP黑屏問題),CND~其他(DSP黑屏問題)
CND-其他(驅動器不能設置原點),CND~其他(驅動器不能設置原點)
CND-加料機捅料杆總往下掉,CND~加料機捅料杆總往下掉
CND-接口接觸不良,CN6接口異常
CND-溫度過高,CND~溫度過高
CND-無法定位電機位置,CND~無法定位電機位置
CND-輸出扭力不夠,CND~輸出扭力不够
CND-通訊不上,CN6通訊異常
CND-通訊異常,CN6通訊異常
CND-通訊異常 AL1200,CND~AL1200
"CND-鐳射焊錫偏移碳化(與本次客退無關,對策前)","CND~鐳射焊錫偏移碳化(與本次客退無關,對策前)"
CND-驅動器無方向,CND~驅動器無方向
CND-驅動異常,CND~驅動異常
"CPLD 3.3V,1.2V對GND短路","CPLD 3.3V,1.2V對GND SHORT"
C相無輸出,C相端子無輸出
C點滑牙,C相端子滑牙
"D01一直有輸出,報警AL001跳閘",AL001
"D01一直有輸出/接地螺絲擰不緊/CN4無法連接/端子滑牙/找不到站號,CN6通訊不上,CN1沒螺絲無法固定,報警,無顯示","CN1異常,CN6異常,CN4異常"
D02一直有輸出,DO2異常
D05壞,DO5異常
D11/R70連錫,"D11,R70連錫"
D3損壞,D03損壞
D50反向阻抗異常,D50阻抗值異常
D50阻抗10kohm（正常為open）,D50阻抗10kohm（正常為OPEN）
D51-D55未移除,D51~D55未移除
"DC-DC電路U24 IC燒毀,RS485電路U9 IC燒壞","DC~DC電路U24,IC燒毀,RS485電路U9,IC燒毀"
DC-DC電路重工不良,DC~DC電路重工不良
"DC3,DC52,DC53鼓包,DR28燒,銅箔炸","DC3,DC52,DC53鼓包,DR28燒毀,銅箔炸裂"
"DC3,DC52鼓包,銅箔炸","DC3,DC52鼓包,銅箔炸裂"
"DC3,DC53,DC52鼓包,DR28燒,銅箔炸","DC3,DC53,DC52鼓包,DR28燒毀,銅箔炸裂"
"DC3,DC82/DC83損壞","DC3,DC82,DC83損壞"
DC3和DC82電容鼓包,"DC3,DC82電容鼓包"
DC3炸,DC3炸裂
"DC3炸,回生電阻open","DC3炸裂,回生電阻OPEN"
"DC3電容鼓包,DR1電阻開裂open,DD1的擊穿","DC3電容鼓包,DR1電阻開裂OPEN,DD1的擊穿"
"DC3電容鼓包,DVAR1,DVAR2炸開,DR1開裂,DQ2擊穿,IGBT擊穿","DC3電容鼓包,DVAR1,DVAR2炸裂開,DR1開裂,DQ2擊穿,IGBT擊穿"
"DC3電容鼓包,壓敏電阻DVAR1,DVAR2炸開","DC3電容鼓包,壓敏電阻DVAR1,DVAR2炸裂開"
"DC3電容鼓包,壓敏電阻DVAR3炸開","DC3電容鼓包,壓敏電阻DVAR3炸裂開"
"DC3鼓包,DR1燒壞","DC3鼓包,DR1燒毀"
"DC3鼓包,DR1過熱損壞","DC3鼓包,DR1燒毀"
"DC3鼓包,DR1開裂損壞","DC3鼓包,DR1過熱損壞"
"DC3鼓包,DTB1有打火,J3表面受熱,DD1擊穿,DR1燒","DC3鼓包,DTB1有打火,J3表面受熱,DD1擊穿,DR1燒毀"
"DC3鼓包,IGBT U上橋擊穿","DC3鼓包,IGBT,U上橋擊穿"
"DC3鼓包,回生電阻Open","DC3鼓包,回生電阻OPEN"
"DC52,DC53,DC3鼓包,DR28燒","DC52,DC53,DC3鼓包,DR28燒毀"
"DC52,DC53和DC3鼓包,DR28燒","DC52,DC53,DC3鼓包,DR28燒毀"
"DC52及SPS電容DC3鼓包,整流子DD22擊穿,與其相連銅箔熔斷","DC52,SPS電容DC3鼓包,整流子DD22擊穿,與其相連銅箔熔斷"
DC52和DC3鼓包,"DC52,DC53鼓包"
"DC52鼓包,DD22,DD23擊穿,T相銅箔燒斷","DC52鼓包,DD22,DD23擊穿,T相銅箔燒毀斷"
"DC52鼓包,DR28損壞,輸入銅箔熔,U1被銅渣短路","DC52鼓包,DR28損壞,輸入銅箔熔,U1被銅渣SHORT"
"DC52鼓包,DR28燒","DC52鼓包,DR28燒毀"
"DC52鼓包,RS銅箔燒斷","DC52鼓包,RS銅箔燒毀斷"
DC53/DC3鼓包R254/R255燒,"DC53,DC3鼓包R254,R255燒毀"
"DC53及SPS電容DC3鼓包,整流子DD23/DD22擊穿,與其相連銅箔熔斷","DC52,SPS電容DC3鼓包,整流子DD22,DD23擊穿,與其相連銅箔熔斷"
"DC53鼓包,回生電阻Open","DC53鼓包,回生電阻OPEN"
DC54底部銅箔短路導致打火,DC54底部銅箔SHORT導致打火
DC58電容短路,DC58電容SHORT
"DC81,DC82,DC83,DC84和鼓包","DC81,DC82,DC83,DC84鼓包"
"DC81,DC82,DC83,DC84電容鼓包","DC81,DC82,DC83,DC84鼓包"
"DC81,DC83鼓包,DR28燒壞,Relay熔損","DC81,DC83鼓包,DR28燒毀,Relay熔損"
"DC81,DC83鼓包,軟起電阻DR28 Open","DC81,DC83鼓包,軟起電阻DR28 OPEN"
"DC82,DC83,DC84,DC3鼓包,DR58炸,IGBT炸","DC82,DC83,DC84,DC3鼓包,DR58炸裂,IGBT炸裂"
"DC82,DC83鼓包,控制板為AB機,C128碎件","DC82,DC83鼓包,控制板爲AB機,C128碎件"
"DC82,DC84,DC3鼓包,軟起電阻DR28 Open","DC82,DC84,DC3鼓包,軟起電阻DR28,OPEN"
DC82/DC83/DC84/DC3鼓包,"DC82,DC83,DC84,DC3鼓包"
DC82和DC83鼓包,"DC82,DC83鼓包"
DC82和DR28燒,"DC82,DR28燒毀"
"DC82電容鼓包,整流子DD22,DD23損壞","DC82鼓包,整流子DD22,DD23損壞"
"DC82鼓包,RS銅箔炸,整流子DD22擊穿","DC82鼓包,RS銅箔炸裂,整流子DD22擊穿"
"DC83電容鼓包,DC3電容鼓包,DD22擊穿,DR28短路","DC83電容鼓包,DC3電容鼓包,DD22擊穿,DR28 SHORT"
"DC83鼓包,R對N,ST對P短路","DC83鼓包,R對N,ST對P SHORT"
"DC83鼓包,整流子DD22和DD23擊穿,DU1pin腳熔斷","DC83鼓包,整流子DD22和DD23擊穿,DU1PIN腳熔斷"
DC84電容鼓包/DR58炸/外置回生電阻鼓包,"DC84鼓包,DR58炸裂,外置回生電阻鼓包"
"DC84鼓包,軟起電阻DR28 Open","DC84鼓包,軟起電阻DR28,OPEN"
"DC84鼓包,軟起電阻DR28 Open,回聲電阻Open","DC84鼓包,軟起電阻DR28,OPEN,回聲電阻OPEN"
DC9折腳,DC9折脚
"DD21和DD13之間有一塊錫渣,IGBT V相pin腳周圍燻黑,IGBT控制側損壞","DD21,DD13之間有一塊錫渣,IGBT V相PIN脚周圍熏黑,IGBT控制側損壞"
DD22 RSpin燒斷,DD22 RSPIN燒毀斷
"DD22 Short,DD23 Short,R通道trace熔斷,T通達trace熔斷","DD22,SHORT,DD23,SHORT,R通道trace熔斷,T通達trace熔斷"
"DD22 擊穿,對應的RS銅箔燒斷","DD22 擊穿,對應的RS銅箔燒毀斷"
"DD22,23擊穿","DD22,DD23擊穿"
"DD22,DD23擊穿,IGBT U對P擊穿","DD22,DD23擊穿,IGBT,U對P擊穿"
"DD22,DD23擊穿,IGBT炸","DD22,DD23擊穿,IGBT炸裂"
"DD22,DQ2,IGBT擊穿,剎車晶體和P點有打火,Relay 損壞","DD22,DQ2,IGBT擊穿,剎車晶體和P點有打火,Relay,損壞"
DD22/DD23/DC84損壞,"DD22,DD23,DC84損壞"
"DD22打火,S相銅箔燒斷線","DD22打火,S相銅箔燒毀斷線"
"DD22擊穿,IGBT P腳熔斷,本體炸裂,DU5有發熱痕跡,5VD_GD短路,DPH16,DPH7,DPH8,DPH9均損壞","DD22擊穿,IGBT,P腳熔斷,本體炸裂,DU5有發熱痕跡,5VD_GD SHORT,DPH16,DPH7,DPH8,DPH9均損壞"
"DD22擊穿,IGBT炸","DD22擊穿,IGBT炸裂"
"DD22擊穿,銅箔燒斷,IGBT炸","DD22擊穿,銅箔燒毀斷,IGBT炸裂"
"DD22擊穿,銅箔燒斷,IGBT炸,DR42燒毀","DD22擊穿,銅箔燒毀斷,IGBT炸裂,DR42燒毀"
"DD22整流子R與HSK之間跳火,但是單獨量測跳火PIN的管壓降正常,與之對應的二極管並未損壞","DD22整流子R與HSK之間跳火,但是單獨量測跳火PIN的管壓降正常,與之對應的二極管幷未損壞"
"DD22整流子處跳火併擊穿,IGBT跳火炸裂,DR58阻抗增大","DD22整流子處跳火幷擊穿,IGBT跳火炸裂,DR58阻抗增大"
"DD22炸,DD23擊穿","DD22炸裂,DD23擊穿"
"DD22短路,DD23腳位熔斷","DD22 SHORT,DD23脚位熔斷"
"DI8輸入限流電阻R224燒壞,DGND-AGND之間的電阻R222燒壞,電源系統全部擊穿","DI8輸入限流電阻R224燒毀,DGND~AGND之間的電阻R222燒毀,電源系統全部擊穿"
DJ1 30腳沒有插入端子,DJ1 30脚沒有插入端子
DJ1 pin22對pin24短路,DJ1 PIN22對PIN24SHORT
DJ1 pin腳粘膠,DJ1 PIN腳粘膠
DJ1沾UV膠,DJ1沾UV膠導
DL1 pin4無線尾,DL1 PIN4無線尾
DL2 pin2 焊錫不良,DL2 PIN2 焊錫不良
DO1一直有輸出,DO1輸出異常
DO1一直輸出,DO1輸出異常
DO1不良,DO1異常
"DO1擊穿,輸出異常",DO1異常
DO1測試不過,DO1異常
DO1無輸出,DO1異常
DO2.3口壞,"DO2異常,DO3異常"
DO2.3壞,"DO2異常,DO3異常"
DO3壞,DO3異常
DO5端子無反應,DO5異常
DO5輸出燒了,DO5異常
DO無輸出,DO異常
DO輸出異常,DO異常
DO點壞,DO異常
DPH15 PIN4-5-6短路,"DPH15,PIN4,5,6 SHORT"
DPH16 PIN腳歪,"DPH16,PIN腳歪"
DPH16pin接觸不良,"DPH16,PIN腳接觸不良"
"DPH16pin接觸不良,錫量少。","DPH16,PIN腳接觸不,錫量少"
DPH16喫錫不良,DPH16焊錫不良
DPH16焊接不良,DPH16焊錫不良
DPH4 PIN4接觸不良,"DPH4,PIN4腳接觸不良"
DPH6 Pin3-4不導通,DPH6 PIN3~4不導通
"DQ2打火,剎車電阻燒","DQ2打火,剎車電阻燒毀"
"DQ2打火擊穿,回生電阻Open","DQ2打火擊穿,回生電阻OPEN"
"DQ2擊穿,IGBT打火,DR38,DR46打火,有維修痕跡","DQ2擊穿,IGBT打火,DR38,DR46打火,有維修痕迹"
"DQ2擊穿,軟起燒壞","DQ2擊穿,軟起燒毀"
"DQ2擊穿,軟起電阻和剎車電阻燒壞","DQ2擊穿,軟起電阻和剎車電阻燒毀"
DQ2擊穿燒壞,DQ2擊穿燒毀
"DQ2燒壞,回升電阻open","DQ2燒毀,回升電阻OPEN"
"DQ2燒壞,回升電阻open,軟起電阻有發熱痕跡","DQ2燒毀,回升電阻OPEN,軟起電阻有發熱痕迹"
"DR1 open,DD1擊穿","DR1,OPEN,DD1擊穿"
DR19燒壞,DR19燒毀
"DR1燒,DD1擊穿,DC3微鼓包","DR1燒毀,DD1擊穿,DC3微鼓包"
"DR1燒壞,DC3微鼓包","DR1燒毀,DC3微鼓包"
"DR1燒壞,DC3短路,上電端子RS相有打火痕跡","DR1燒毀,DC3 SHORT,上電端子RS相有打火痕迹"
"DR1燒壞,DD1 PIN2與PIN3之間擊穿,DR4之間跳火","DR1燒毀,DD1,PIN2與PIN3之間擊穿,DR4之間跳火"
"DR1燒壞,DD1擊穿","DR1燒毀,DD1擊穿"
DR1裂,DR1開裂損壞
"DR1開裂損壞,DC3短路,DD3有過熱痕跡","DR1開裂損壞,DC3 SHORT,DD3有過熱痕跡"
"DR1開裂損壞,DD1擊穿,DT1和DR4打火,量測線圈正常,DU2過熱損壞,IGBT pin腳之間和導熱rubber上粘有異物","DR1開裂損壞,DD1擊穿,DT1和DR4打火,量測線圈正常,DU2過熱損壞,IGBT PIN腳之間和導熱rUbber上粘有異物"
"DR1開裂損壞,DD1擊穿,DT1和DR4打火,量測線圈正常,DU2過熱損壞,IGBT pin腳之間和導熱rubber上粘有異物,用磁鐵可吸附","DR1開裂損壞,DD1擊穿,DT1和DR4打火,量測線圈正常,DU2過熱損壞,IGBT,PIN腳之間和導熱rUbber上粘有異物,用磁鐵可吸附"
"DR1電阻開裂open,DD1的擊穿","DR1開裂損壞OPEN,DD1擊穿"
DR28 Open,"DR28,OPEN"
"DR28 open,外殼融化","DR28 OPEN,外殼融化"
"DR28,DRLY1有過熱痕跡","DR28,DRLY1有過熱痕迹"
"DR28/DR58/IGBT損壞,上蓋缺失（維修中心李井初拆除)","DR28,DR58,IGBT損壞,上蓋缺失（維修中心李井初拆除)"
DR28炸,DR28炸裂
DR28燒,DR28燒毀
"DR28燒,IGBT擊穿","DR28燒毀,IGBT擊穿"
"DR28燒,IGBT炸","DR28燒毀,IGBT炸裂"
"DR28燒,剎車晶體DQ2擊穿,回聲電阻Open","DR28燒毀,剎車晶體DQ2擊穿,回聲電阻OPEN"
DR28燒壞,DR28燒毀
"DR28燒壞,DR58有打火痕跡,且阻抗值變大8.4Ω,IGBT炸","DR28燒毀,DR58有打火痕跡,且阻抗值變大8.4Ω,IGBT炸裂"
"DR28燒毀,U對Popen,V,W上下橋均被擊穿。","DR28燒毀,U對POPEN,V,W上下橋均被擊穿"
DR28裂開,DR28開裂
DR28軟啟焊錫不良,DR28軟啓焊錫不良
"DR28軟啟燒壞,PIN焊錫不良","DR28軟啓燒毀,PIN焊錫不良"
"DR28過熱,回生電阻燒","DR28過熱,回生電阻燒毀"
"DR28過熱,回生電阻燒,N段子処有打火痕跡","DR28過熱,回生電阻燒毀,N段子處有打火痕跡"
DR30燒壞,DR30燒毀
DR42/DR45散熱不良,"DR42,DR45散熱不良"
DR42損壞IGBT炸,"DR42損壞,IGBT炸裂"
"DR42炸,DD22擊穿,IGBT炸,軟起電阻燒壞","DR42炸裂,DD22擊穿,IGBT炸裂,軟起電阻燒毀"
"DR42炸,IGBT炸,V BUS電壓偵測異常,5VD_GD短路","DR42炸裂,IGBT炸裂,V,BUS電壓偵測異常,5VD_GD SHORT"
"DR45炸,DD22/DD23擊穿,IGBT com對PIN5短路,P對W短路","DR45炸裂,DD22,DD23擊穿,IGBT,com對PIN5 SHORT,P對W SHORT"
"DR45炸,IGBT炸","DR45炸裂,IGBT炸裂"
"DR4和DT1打火,DT1 pin1和pin2 Open,DR1開裂損壞,DD1擊穿,DU2擊穿","DR4和DT1打火,DT1 PIN1和PIN2 OPEN,DR1開裂損壞,DD1擊穿,DU2擊穿"
DR57 open,"DR57,OPEN"
"DR58 open,IGBT UV對N擊穿","DR58,OPEN,IGBT,UV對N擊穿"
"DR58-OPEN,DD22擊穿,IGBT擊穿","DR58,OPEN,DD22擊穿,IGBT擊穿"
"DR58/DR42炸,DD22擊穿,IGBT炸,軟起電阻燒壞","DR58,DR42炸裂,DD22擊穿,IGBT炸裂,軟起電阻燒毀"
"DR58和DR45炸,軟起電阻DR28燒,IGBT炸","DR58和DR45炸裂,軟起電阻DR28燒毀,IGBT炸裂"
"DR58損壞,IGBT VW對P擊穿","DR58損壞,IGBT,VW對P擊穿"
"DR58損壞,IGBT V下橋擊穿UW上橋擊穿","DR58損壞,IGBT,V下橋擊穿UW上橋擊穿"
"DR58損壞,IGBT 炸裂","DR58損壞,IGBT,炸裂"
"DR58損壞,IGBT模塊U相上橋直通,UVW下橋直通","DR58損壞；IGBT模塊U相上橋直通,UVW下橋直通"
"DR58損壞,銅箔翹起,軟起電阻壞,IGBT壞,DC64和DR57燒黑,DZD4燒壞,DZD7短路,驅動光耦DPH8pin4~pin6短路。","DR58損壞,銅箔翹起,軟起電阻壞,IGBT壞,DC64和DR57燒毀黑,DZD4燒毀,DZD7短路,驅動光耦DPH8Pin4~Pin6短路"
DR58炸,"DR58阻抗值變大,本體存在跳火痕跡,IGBT,UVW對N,SHORT,銅箔翹起"
"DR58炸,DC45燒,IGBT炸,整流子DD22擊穿,DU2,DU5擊穿",DR58炸裂
"DR58炸,DD22擊穿,IGBT炸","DR58炸裂,DC45燒毀,IGBT炸裂,整流子DD22擊穿,DU2,DU5擊穿"
"DR58炸,DD22擊穿,IGBT炸裂","DR58炸裂,DD22擊穿,IGBT炸裂"
"DR58炸,DQ2擊穿,DR66燒,IGBT炸,DU2,DU5,DZD9擊穿","DR58炸裂,DQ2擊穿,DR66燒毀,IGBT炸裂,DU2,DU5,DZD9擊穿"
"DR58炸,DR28燒,IGBT炸","DR58炸裂,DR28燒毀,IGBT炸裂"
"DR58炸,DR300,DR37燒,DQ2擊穿,軟起DR28燒,Relay不吸合,IGBT炸,DU2,DU5,DZD9擊穿","DR58炸裂,DR300,DR37燒毀,DQ2擊穿,軟起DR28燒毀,Relay不吸合,IGBT炸裂,DU2,DU5,DZD9擊穿"
"DR58炸,DR300,DR37燒,DQ2擊穿,軟起DR58燒,P線燒,Relay不吸合,IGBT炸,DU2和DZD9擊穿","DR58炸裂,DR300,DR37燒毀,DQ2擊穿,軟起DR58燒毀,P線燒毀,Relay不吸合,IGBT炸裂,DU2和DZD9擊穿"
"DR58炸,DR300,DR37燒,IGBT炸,DU2擊穿","DR58炸裂,DR300,DR37燒毀,IGBT炸裂,DU2擊穿"
"DR58炸,DR300,DR57,DC64燒,IGBT炸,DU2和DU5擊穿,DR49燒","DR58炸裂,DR300,DR57,DC64燒毀,IGBT炸裂,DU2和DU5擊穿,DR49燒毀"
"DR58炸,DR300燒,IGBT炸,DU2,DU5和DZD9擊穿","DR58炸裂,DR300燒毀,IGBT炸裂,DU2,DU5和DZD9擊穿"
"DR58炸,DR300燒,IGBT炸,DU2和DU5擊穿","DR58炸裂,DR300燒毀,IGBT炸裂,DU2和DU5擊穿"
"DR58炸,DR300燒壞,IGBT炸,DU2擊穿","DR58炸裂,DR300燒毀,IGBT炸裂,DU2"
"DR58炸,DR57和DC64燒,IGBT炸,DU2和DZD9擊穿","DR58炸裂,DR57和DC64燒毀,IGBT炸裂,DU2和DZD9擊穿"
"DR58炸,DVAR1與DD22相連銅箔炸斷","DR58炸裂,DVAR1與DD22相連銅箔炸裂斷"
"DR58炸,IGBTCOM對PIN11/12/14/15/16/17/21短路,PN對VW短路","DR58炸裂,IGBTCOM對PIN11,12,14,15,16,17,21SHORT,PN對VW SHORT"
"DR58炸,IGBT壞,DZD7短路,驅動光耦pin4-pin6短路","DR58炸裂,IGBT壞,DZD7 SHORT,驅動光耦PIN4~PIN6 SHORT"
"DR58炸,IGBT壞,DZD7短路,驅動光耦pin4~pin6短路","DR58炸裂,IGBT壞,DZD7 SHORT,驅動光耦PIN4~PIN6 SHORT"
"DR58炸,IGBT壞,DZD7短路,驅動光耦pin4~pin6短路,DC64和DR57燒黑,DZD4燒壞","DR58炸裂,IGBT壞,DZD7 SHORT,驅動光耦PIN4~PIN6 SHORT,DC64和DR57燒毀,DZD4燒毀"
"DR58炸,IGBT壞,軟起電阻和relay燒壞,DZD7短路,驅動光耦pin4~pin6短路。","DR58炸裂,IGBT壞,軟起電阻和relay燒毀,DZD7 SHORT,驅動光耦PIN4~PIN6 SHORT"
"DR58炸,IGBT壞,驅動光耦pin4~pin6短路。","DR58炸裂,IGBT壞,驅動光耦PIN4~PIN6 SHORT"
"DR58炸,IGBT損壞,整流子擊穿","DR58炸裂,IGBT損壞,整流子擊穿"
"DR58炸,IGBT損壞,與整流子相連銅箔熔斷","DR58炸裂,IGBT損壞,與整流子相連銅箔熔斷"
"DR58炸,IGBT擊穿","DR58炸裂,IGBT擊穿"
"DR58炸,IGBT擊穿,DD22擊穿,DR300燒壞","DR58炸裂,IGBT擊穿,DD22擊穿,DR300燒毀"
"DR58炸,IGBT擊穿,DPH2燒","DR58炸裂,IGBT擊穿,DPH2燒毀"
"DR58炸,IGBT擊穿,DR37,DR41燒,DD22,DD23整流子擊穿","DR58炸裂,IGBT擊穿,DR37,DR41燒毀,DD22,DD23整流子擊穿"
